group_code,kickoff_at_utc,home_code,away_code
A,2026-06-11 18:00,MEX,RSA
A,2026-06-11 21:00,KOR,CZE
B,2026-06-12 18:00,CAN,BIH
B,2026-06-13 21:00,QAT,SUI
C,2026-06-13 18:00,HAI,SCO
C,2026-06-13 21:00,BRA,MAR
D,2026-06-12 21:00,USA,PAR
D,2026-06-13 23:00,AUS,TUR
E,2026-06-14 18:00,CIV,ECU
E,2026-06-14 21:00,GER,CUW
F,2026-06-14 23:00,NED,JPN
F,2026-06-14 23:30,SWE,TUN
G,2026-06-15 18:00,IRN,NZL
G,2026-06-15 21:00,BEL,EGY
H,2026-06-15 23:00,KSA,URU
H,2026-06-15 23:30,ESP,CPV
I,2026-06-16 18:00,FRA,SEN
I,2026-06-16 21:00,IRQ,NOR
J,2026-06-16 23:00,ARG,ALG
J,2026-06-16 23:30,AUT,JOR
K,2026-06-17 21:00,POR,COD
K,2026-06-17 23:00,UZB,COL
L,2026-06-17 18:00,GHA,PAN
L,2026-06-17 20:00,ENG,CRO
A,2026-06-18 18:00,CZE,RSA
A,2026-06-18 21:00,MEX,KOR
B,2026-06-18 23:00,SUI,BIH
B,2026-06-18 23:30,CAN,QAT
C,2026-06-19 18:00,BRA,HAI
C,2026-06-19 21:00,SCO,MAR
D,2026-06-19 23:00,TUR,PAR
D,2026-06-19 23:30,USA,AUS
E,2026-06-20 18:00,GER,CIV
E,2026-06-20 21:00,ECU,CUW
F,2026-06-20 23:00,NED,SWE
F,2026-06-20 23:30,TUN,JPN
G,2026-06-21 18:00,BEL,IRN
G,2026-06-21 21:00,NZL,EGY
H,2026-06-21 23:00,URU,CPV
H,2026-06-21 23:30,ESP,KSA
I,2026-06-22 18:00,NOR,SEN
I,2026-06-22 21:00,FRA,IRQ
J,2026-06-22 23:00,ARG,AUT
J,2026-06-22 23:30,JOR,ALG
K,2026-06-23 21:00,POR,UZB
K,2026-06-23 23:00,COL,COD
L,2026-06-23 18:00,ENG,GHA
L,2026-06-23 20:00,PAN,CRO
A,2026-06-24 18:00,CZE,MEX
A,2026-06-24 21:00,RSA,KOR
B,2026-06-24 23:00,SUI,CAN
B,2026-06-24 23:30,BIH,QAT
C,2026-06-24 18:30,SCO,BRA
C,2026-06-24 19:00,MAR,HAI
D,2026-06-25 18:00,TUR,USA
D,2026-06-25 21:00,PAR,AUS
E,2026-06-25 18:00,CUW,CIV
E,2026-06-25 21:00,ECU,GER
F,2026-06-25 23:00,JPN,SWE
F,2026-06-25 23:30,TUN,NED
G,2026-06-26 18:00,EGY,IRN
G,2026-06-26 21:00,NZL,BEL
H,2026-06-26 23:00,CPV,KSA
H,2026-06-26 23:30,URU,ESP
I,2026-06-26 18:30,NOR,FRA
I,2026-06-26 20:00,SEN,IRQ
J,2026-06-27 21:00,ALG,AUT
J,2026-06-27 23:00,JOR,ARG
K,2026-06-27 18:00,COL,POR
K,2026-06-27 20:00,COD,UZB
L,2026-06-27 18:30,PAN,ENG
L,2026-06-27 20:30,CRO,GHA
